iteration,eval_reward,update_norm
0,-891.025845539763,0.00020289846284015406
1,-822.3042492885749,0.00019122523834899294
2,-1171.9791793017657,0.0001492190048542572
3,-504.49822733198977,0.00025518282480376756
4,-1166.6450826033433,0.00047154207572475164
5,-1290.0691545577959,0.0002973329345698261
6,-505.2442162641698,0.000245158860215646
7,-899.5224957054219,0.0002774278119105854
8,-867.3522602418908,0.0001456916810653546
9,-1229.1453053052683,0.00025263594472435476
10,-1092.8110802055178,0.00017947182688478442
11,-669.8025143036392,0.00013654543679012484
12,-1289.1729439556063,0.000274615482859556
13,-1629.683203800142,0.00030408321144605855
14,-1291.3518765756355,0.00023273400627778993
15,-1288.218570778457,0.0003989041199599295
16,-1402.044821816672,0.00024711475600025566
17,-863.1356640404357,0.00045151463119622216
18,-1667.4554350391463,0.00028935658267069625
19,-1832.6718768860437,0.00027678697705966836
20,-731.981849757362,0.0002885523065647195
21,-747.4711297565585,0.00031194624437702053
22,-860.5253742941735,0.0001773780614110988
23,-1184.5879415447882,0.00013576412679754165
24,-627.1220156241981,0.00033378241849527334
25,-1324.8941134277977,0.0003289454239815126
26,-1564.8643802656006,0.0003079464136113481
27,-1062.9718465705155,0.00029371903937961893
28,-631.6864446742295,0.00030345836322484744
29,-1633.5330478735063,0.00017564313584315984
30,-746.0121028903673,5.2147884749056543e-05
31,-1815.8698895117948,0.00026733669526849427
32,-1591.022174411796,0.00028344049211940706
33,-1078.9954029816658,0.00042885012517494706
34,-1168.5874962115138,0.00031776520259978256
35,-1276.9036655334467,0.00022574694399535875
36,-1357.5596573758162,0.000300963867711431
37,-1719.3325182774047,0.000205723031376657
38,-745.6950230649194,0.0003651639674712017
39,-933.748896741045,0.00021690658154666746
40,-1561.6302766900415,0.0002573506768424256
41,-503.93743189451936,0.0002745262333346865
42,-1842.721034451838,0.00040721767716888973
43,-1657.9458707219744,0.00036540818595724755
44,-634.586187252038,0.00011910419055059308
45,-1262.2487325715128,0.0002945159545686503
46,-1180.0917196204061,0.00029572533615954914
47,-1248.7992442449709,0.0003181616039670812
48,-780.3457100441371,0.00027106740326910425
49,-1185.0239251238336,0.00030179735209001624
50,-1456.0702100046155,0.00022500035472110798
51,-967.0218954697925,0.00024859769524665905
52,-1286.520578301313,0.00018623545828232643
53,-1702.5840404622381,0.00032155123071527555
54,-970.3979608765493,0.000501490474297792
55,-1558.6535759608978,0.0002490426933349407
56,-1699.1703226293378,0.0004658804058040697
57,-1669.2895826497645,0.00035441357948732616
58,-1871.8864281296824,0.00030420172093885184
59,-1194.897324169036,0.00032523374427421596
60,-630.4126518535063,0.0002479309302369883
61,-1671.9601005402135,0.0004407838689614948
62,-1138.6868049779814,0.00046386464803021735
63,-1519.746632785546,0.0004603532816742198
64,-952.2381460994545,0.00033203718433473707
65,-506.0131544236578,0.0004248937018092623
66,-1174.230885737654,0.00031319521065842874
67,-1275.532692850752,0.00022447156430973044
68,-630.407752766509,0.00041683043966495
69,-1468.8501252662215,0.0001062506179597507
70,-502.20899192970904,0.00018956874749641008
71,-1588.449713300276,0.00042664269480314603
72,-1822.7198262978648,0.00046541117920207873
73,-1025.5983979802645,0.0002880571717069198
74,-869.3330685394523,0.00047312226242533697
75,-1504.5871471234343,0.00027970682687112366
76,-1065.7403555615301,0.00046894656992427296
77,-1262.1557875513865,0.00021681548029523498
78,-1548.4299407153792,0.00036565472723671343
79,-627.3330253603883,0.0003622394672328444
80,-1905.7060688155223,0.0002136412145367427
81,-1090.5452023285425,0.0001463500038864922
82,-1270.4166878218127,0.00014078104382213904
83,-1079.3529734694255,0.0002278082889522846
84,-1572.1416037468198,0.0002261821505236277
85,-993.7571014300121,0.00033126188800686234
86,-1066.5820260778553,0.0003312456551313659
87,-733.6247452165444,0.00028104182076215745
88,-1294.078967677685,0.00014833768525427621
89,-1479.717088563475,0.000296008203497757
90,-1825.3168093492648,0.00022853432699637121
91,-1420.2282189649159,0.00018877712452882226
92,-1172.4444590671073,0.00025313660679278393
93,-748.0528295916745,0.00027550386525619815
94,-1478.2179743486486,0.00045751529921593754
95,-1699.9045013859352,0.00048003902671275053
96,-1351.1568248568974,0.00016680625613013148
97,-1418.1887871866475,0.00010896830057884482
98,-1293.3302731941942,0.00038008088490917776
99,-630.7023076187319,0.00021417497675022524
100,-1863.0801199909693,0.0002952848264543054
101,-1026.3820058438205,0.0003124424557202208
102,-1280.662557355198,0.0002601022835607926
103,-1505.7333176981,0.00027062465418655336
104,-972.4333277909781,0.00038311311928435125
105,-1282.337316353269,0.00023810990316022626
106,-1353.915143669547,0.00021388525410885652
107,-855.3621213395649,0.0002988624855647761
108,-1335.8249761663658,0.0002211474231109877
109,-1164.1630612418246,0.00023109028000886723
110,-1069.4189146645917,0.00010034919413883313
111,-751.6776340517134,0.00013106030255287529
112,-955.7748851979813,0.00024426619368057595
113,-1650.4994331538105,0.00036421072610671464
114,-1168.4219930505797,0.00045160812989319515
115,-1218.1322320025877,0.00030071654839832266
116,-1702.550580703483,0.00020270961886869433
117,-1676.5460839695897,0.00024462146932266015
118,-1264.071592730633,0.00038996321014151157
119,-1679.3224283973411,0.00011356093645905187
120,-1441.0647979074565,0.0003068693573572624
121,-1553.0256666124033,0.0005673759875118605
122,-1189.0670241607504,0.00013409754586059743
123,-969.7566666707811,0.0001912445316778556
124,-1350.5531956117864,0.00019370883501068097
125,-752.5540778463362,0.00024486388692917486
126,-1306.6055294255643,0.0003215234859386153
127,-1585.0615186640805,0.00018743045780933288
128,-862.4387604398878,0.0005740151012951026
129,-674.6215757825613,0.0005916444254060142
130,-1068.4393869879007,0.0003281261879101775
131,-746.9472910637106,0.0004938326977541007
132,-866.2930862141816,0.00015603041420625985
133,-630.2463850954736,0.000284439269365642
134,-748.9463627818773,0.0003423175266128992
135,-862.7820810446377,0.00038717923444488357
136,-510.4896597635551,0.00016055305727436772
137,-1459.0655377356002,0.00024101147423547404
138,-630.8064876443127,0.00025952019164880415
139,-747.9969939358512,0.00037474995197596633
140,-1482.3985900189762,0.00031851192804690994
141,-627.552982581981,0.00018864299474831452
142,-1535.7486463694383,7.396741748644145e-05
143,-1236.520607815153,0.00023541076520695593
144,-1270.7589700783906,0.0002857897853882321
145,-1688.7894278984659,0.00016775714972828423
146,-969.9906867210965,0.00037703417208457456
147,-1736.228548279058,0.00021575227518570513
148,-1270.059300776739,0.00029964523022835393
149,-1584.841590564056,0.0003051762336478954
150,-1637.4244984653726,0.00037015402574725934
151,-1267.8060815016609,0.0002618460532756088
152,-1241.548083477404,0.0003069740227028857
153,-1069.6385687060852,0.00036764581243614467
154,-626.5067351558666,0.00032433383893146336
155,-1832.2358049963118,0.00024074075968970513
156,-966.4607844991466,0.00017855875426347912
157,-870.9665700980381,0.00042652135593094137
158,-994.718186994254,0.00032392503840099373
159,-631.9807307626702,0.00020579335599174074
160,-980.4455206624765,0.0003104463449728342
161,-1508.0332909349154,0.00019568499884774993
162,-865.8581829848356,0.0001930021143558601
163,-1044.5765673914905,9.442246487302342e-05
164,-744.3361542129444,9.487123564454945e-05
165,-1445.8662629043786,0.0002161116478716722
166,-1923.009286007926,0.0005028048705845832
167,-1654.9339241759349,0.000345133731961014
168,-978.6756301552016,0.00026502158188908287
169,-749.3860500493121,0.00045650817062867975
170,-630.5528979315314,0.0002824592429427981
171,-967.4493359135357,0.00019388431102418646
172,-1168.6001498892317,0.0004882672106269026
173,-1482.4013004922156,0.00026630280398935106
174,-1555.283250166002,0.000277810673622013
175,-985.4645652909489,0.000340873709485459
176,-1527.0651249039915,0.00024321268275712856
177,-1606.0193431761295,0.0003911455808660459
178,-1541.078288242275,0.00024379647923413266
179,-1035.132322608582,0.0004005914146969055
180,-1174.9813750110716,0.000384804125335079
181,-1718.8996763991108,0.0003009392510976745
182,-630.5537455580553,0.000257078773112169
183,-1291.8461719697586,0.0004111841595139445
184,-1139.19024128049,0.00019259912622347775
185,-730.4541157466372,0.0001800035425101861
186,-1068.4910067206722,0.0003279742529092946
187,-1081.8812357718832,0.00046715731023947853
188,-626.7957160275703,0.0002719628738031093
189,-1166.5832166438113,0.00032383087853650504
190,-1323.7088939373627,0.0004849162223960306
191,-1266.0172063504585,0.0003530964499727886
192,-1424.0651469877048,0.00024104252133505362
193,-748.7403743969411,0.0005609719484633716
194,-815.1511565892367,0.0003589581724806166
195,-1405.5182225856338,0.00034661081478231173
196,-1299.8897345319215,0.0002273645309771154
197,-981.3026720464716,0.0002719383714604636
198,-529.5256863366053,0.00034079470462807025
199,-1637.0633692709841,0.00021221063861172297
200,-1508.8520294393147,0.00041470043830503804
201,-963.7036262770331,0.00018029457010885748
202,-644.3785356046665,8.704914079081196e-05
203,-1071.2343226269004,0.00026721723088984385
204,-969.7832026182979,0.00018037130292394659
205,-634.3143858267575,0.00018407589148835397
206,-517.5076615149113,0.0002955328015877898
207,-1788.9988034103706,0.0002560596791442826
208,-1273.628924783397,0.00043873856116169804
209,-1519.4516530814137,0.00016797301010470288
210,-1064.3082969954462,0.00016625184403085835
211,-1291.9142379454033,0.0003334127143251456
212,-705.2050100184664,0.0002974329764923266
213,-1267.8213018288563,0.0002289790669932342
214,-1838.8506235423813,0.00014227327472008403
215,-1258.5599240109007,0.00021957413104206999
216,-944.3492659228432,0.0004726685812528705
217,-1166.939855049771,0.00024154691182367286
218,-626.8441545584383,0.00021213771242353308
219,-1811.6319117859803,0.0004824150624611446
220,-1070.334478116009,0.000294174803656131
221,-1317.1160777577463,0.0003268322556969453
222,-1495.0503716695691,0.000219312423303863
223,-1898.9126782110998,0.00024959951247716355
224,-971.3434899211104,0.0002459936129941419
225,-1275.5977865261248,0.00018466229609186762
226,-1118.4144931586545,0.00040484678845476225
227,-1264.7572108238692,0.00041225560190991583
228,-703.2796132011974,0.00015424508459941855
229,-1905.99947333838,0.00022667210461459363
230,-1402.3548931503235,0.0003550513496523214
231,-1645.005035905792,0.00016770832893549665
232,-850.9239372632973,0.0002325426545033999
233,-653.0991916770582,0.00013153394067985422
234,-503.48702953237176,0.0003658450810958482
235,-1891.0691180472074,0.000247076923700969
236,-1074.1226420142007,0.00021990698828013694
237,-647.2257525582186,0.00015837747796419466
238,-1146.0457619980818,0.00017991385453256943
239,-640.3106129800392,0.0003829912282847509
240,-813.1273360864365,0.0003229810806246007
241,-1283.5001522542188,0.0003907841447850582
242,-1119.1360240153815,0.0002608665944977159
243,-1270.148393216305,0.00021586975256408046
244,-1284.8844233180632,0.00026691854383196985
245,-1180.6575502346757,0.00018924756181551883
246,-775.9403823964468,0.0003114793212145793
247,-636.112293045728,0.00024058321294528093
248,-1711.7728286172987,0.0005271766761972999
249,-1175.3164251992882,0.00030383939629880836
250,-1298.0334275941773,0.0001730595803423232
251,-1446.4154361518574,0.0003828742162138102
252,-683.5212897902597,0.0002905032923025012
253,-1484.0569082241605,0.0002515104061823984
254,-970.632782604925,0.0002262914779442419
255,-1660.5077684783614,0.00017320501303544366
256,-1343.1443362093678,0.0002632375833476741
257,-727.543446878635,0.0003387337566668061
258,-1546.2460349330634,0.00025151496111737036
259,-1312.7115711996996,0.000291747406217715
260,-1680.641674183774,0.000234509722053533
261,-812.4363158231295,0.00014877205744572735
262,-1470.6443352456213,0.0004450264525721388
263,-1174.7434267426966,0.00020573964920583447
264,-1167.0194751942386,0.00026747153467809864
265,-1811.246545149105,0.00024881776102679803
266,-1373.3963979168948,0.0001575047738965916
267,-1255.5753501001484,0.00012917013228382648
268,-1197.3385432924324,0.0004293492162506481
269,-1440.3718180142962,0.00036973408187610353
270,-1766.588595881378,0.00027584639729188467
271,-971.9153717032772,0.00023832334483583575
272,-1104.8569348251754,0.00027761066944439425
273,-1501.211084221019,0.00025373560646662285
