Sourcebusa,Sourcebusb,Sourcebusc,799a,799b,799c,701a,701b,701c,702a,702b,702c,705a,705b,705c,713a,713b,713c,703a,703b,703c,727a,727b,727c,730a,730b,730c,704a,704b,704c,714a,714b,714c,720a,720b,720c,742a,742b,742c,712a,712b,712c,706a,706b,706c,725a,725b,725c,707a,707b,707c,724a,724b,724c,722a,722b,722c,708a,708b,708c,733a,733b,733c,732a,732b,732c,709a,709b,709c,731a,731b,731c,710a,710b,710c,735a,735b,735c,736a,736b,736c,711a,711b,711c,741a,741b,741c,740a,740b,740c,718a,718b,718c,744a,744b,744c,734a,734b,734c,737a,737b,737c,738a,738b,738c,728a,728b,728c,729a,729b,729c,799ra,799rb,799rc,time
0.9999969753276793,0.9999965575183297,0.9999980906464898,0.9801604195704027,0.9773298219513473,0.9874748059963043,0.9947078115485789,0.9924293119217495,1.0033068017125313,0.9927205795884156,0.9911690811610104,1.002120656388764,0.9926313497748283,0.9907904685189214,1.002261505978811,0.9919045157254234,0.9906618114868251,1.0019505722024187,0.9912900223843889,0.9908651298772364,1.0008050637467327,0.9910850009964153,0.9905495350449269,1.0005715910865165,0.9904148773591085,0.9909839303725714,0.9998653809454301,0.990926247802143,0.9899295130744792,1.0016060400481754,0.9907450621095896,0.9899380544118104,1.0016049515699441,0.9905578306201577,0.9889972239051436,1.0011147324332825,0.992627342317323,0.9904873908907734,1.0021663331739576,0.9925807520821239,0.9907904972549986,1.0024173000010044,0.990556984238584,0.988787850787521,1.001009431356829,0.9905562405558986,0.9886164237089116,1.0009555095575775,0.9904345161817875,0.9877120810987147,1.000809217235328,0.9904262397414322,0.9879458650582056,1.0006682438983878,0.9904196209034974,0.9875074632966357,1.000791630505964,0.9898689298094282,0.9909346682815781,0.999197908644614,0.9895809425920575,0.9908456848228926,0.9990020936273036,0.9898733059713336,0.9909347193753858,0.9988672736529848,0.9902025863989365,0.9910234455454121,0.9996051476126189,0.9901910030074784,0.9913080971234323,0.9995876635540466,0.9887454354213583,0.9909123526931429,0.9986400462004242,0.9887058967440726,0.9909123726514768,0.99867110631851,0.9887329948217796,0.991275854335847,0.998424747225252,0.9881722394873589,0.9904481797033753,0.9976423509254568,0.9881050163748432,0.9904482693604968,0.9976336519943222,0.9881883812562228,0.9904481996523506,0.9974301275769488,0.9896552045086537,0.9900864306329992,1.0015895702143605,0.9909880428099798,0.9903332502480032,1.0004174504425682,0.9888527428783618,0.9907641764999897,0.9986462790336206,0.9881126066676074,0.9905456085825534,0.9981932583634119,0.9882848856138484,0.9904478385562123,0.997926220203555,0.990830114808426,0.9901870977752154,1.000258662510376,0.9910130759771648,0.9902358914589845,1.0004219989593108,0.9985232928973975,0.9956411935176452,1.0059806868414751,75.0
0.9999969846673041,0.999996559192706,0.9999980909372747,0.9802212397065444,0.9773408025626498,0.9874760242350183,0.9947818133267022,0.9924422212220516,1.0033143035568262,0.9927983407400451,0.9911826896531586,1.0021292328676317,0.9927097820758536,0.9908035216642325,1.0022716026906366,0.9919845845676869,0.9906742793397764,1.0019588016713468,0.9913680446747389,0.9908820524959768,1.0008163470097842,0.9911652219029121,0.9905681883219487,1.0005834319275102,0.9904902475742333,0.9910014393358936,0.9998775410942203,0.9910075767437376,0.9899403312047659,1.0016132478168127,0.9908264723126144,0.9899486479182783,1.0016120434809963,0.990640517941112,0.9890065259900909,1.0011210978511342,0.9927057678233975,0.9904999999393651,1.002177344441609,0.9926595921651462,0.9908035504006875,1.0024276232095308,0.990639623777815,0.9887967140136362,1.001015039072752,0.9906388568125878,0.9886248242695671,1.0009605087603275,0.990517945411001,0.9877194741181803,1.0008157046917447,0.9905096759840959,0.9879527869459883,1.0006747683062107,0.9905031457829843,0.9875146816937977,1.0007981284108356,0.9899430726177115,0.990952430955523,0.9992117484371246,0.9896543006854828,0.9908635059116387,0.9990169903503939,0.9899475551907437,0.9909524820502514,0.9988809102669614,0.9902774916641313,0.991041149845348,0.9996180774233048,0.990265942348834,0.9913262778454405,0.999601196550011,0.9888158244048866,0.9909334208878727,0.9986602959117402,0.9887754724973757,0.9909334408466373,0.998692335452255,0.9888034846984863,0.9912993727847602,0.9984477464463156,0.9882423383808553,0.9904724184363901,0.9976550355098285,0.9881750974917253,0.9904725080957466,0.9976462027992955,0.9882578637125623,0.9904724383858633,0.9974419959011367,0.9897374019376416,0.9900965966612582,1.0015966828061074,0.9910697169817164,0.9903532263078318,1.0004302459638612,0.9889252061931356,0.9907842487774849,0.9986628675122936,0.9881833455932081,0.9905676798523255,0.9982080772971051,0.9883558468899692,0.9904720772807241,0.9979399027455194,0.9909128337502976,0.9902080440886181,1.0002724959555889,0.9910948102346651,0.9902559027519585,1.000434793667841,0.9985852976715076,0.9956523873665687,1.005981949332068,76.0
0.9999969866982387,0.9999965599026587,0.9999980926808596,0.9802342993994668,0.9773451891168338,0.9874872816043475,0.9947986670206889,0.9924487851231675,1.0033297040808429,0.9928150816894427,0.9911923019527198,1.0021448425249204,0.9927259711820275,0.9908112234149026,1.002286070367792,0.9920023804369824,0.9906850731808986,1.0019750251427781,0.9913839143622819,0.9908960042013633,1.0008332888728932,0.9911821248064275,0.9905827173917983,1.000600142815635,0.9905044868258871,0.9910186515303899,0.9998949956789543,0.9910271936856465,0.989952833673784,1.001630958806755,0.9908465076241671,0.9899615350297046,1.001629721934863,0.990660980314274,0.9890193431512898,1.0011414293309238,0.9927218546272036,0.9905061732881293,1.0021912471102876,0.9926755267988677,0.990811252151574,1.0024418298445343,0.9906600346382486,0.9888089957115395,1.0010345205347921,0.9906592425247133,0.9886365589780054,1.000979316762817,0.9905376269837807,0.9877358041100607,1.000843192638284,0.9905293920686408,0.9879692046200146,1.0007030391171043,0.9905227200602799,0.987531456531099,1.0008264260973492,0.9899566170230061,0.9909720414775676,0.9992300117949845,0.989666910170621,0.9908844280813309,0.9990354271463535,0.9899620080312245,0.9909720925733115,0.9988994840357781,0.9902914790633713,0.9910594487482334,0.9996361011036613,0.9902800053034222,0.9913453773240666,0.9996204785857562,0.9888245309818943,0.990957352239398,0.99868149051087,0.9887834174130298,0.9909573721986509,0.9987143874381803,0.988812209208643,0.9913243622397936,0.9984695752311762,0.9882494732306284,0.9904996266858462,0.9976694354016324,0.9881820734544561,0.9904997163477036,0.9976603989225933,0.9882642887153608,0.9904996466358768,0.9974555161837884,0.9897605169930791,0.9901127014563356,1.001614244730526,0.9910873199115053,0.9903683354553676,1.0004473777690486,0.9889358866784862,0.9908077502364299,0.9986815772746909,0.9881921797221348,0.9905938462955648,0.9982247823675492,0.988364094017956,0.990499285520664,0.9979554215026775,0.9909307030942104,0.9902233803609024,1.000289924865875,0.991112453677175,0.9902710390142667,1.0004519246220807,0.9985986152794164,0.9956568659004812,1.0059934325952251,77.0
0.9999969798674887,0.9999965597231181,0.999998095791834,0.9801897145383033,0.9773437681129491,0.9875082121841805,0.9947449631231439,0.9924487319545657,1.003350197888666,0.9927635210430718,0.9911930283814758,1.002165386014518,0.9926743232945017,0.9908127821610963,1.0023091496360927,0.9919525956543082,0.9906849117231995,1.0019946448837767,0.9913324567024764,0.990899425338851,1.0008549152648314,0.9911314805852428,0.9905866856378733,1.0006218597333851,0.9904522651403674,0.991023772739611,0.9999168576741461,0.9909787536300804,0.98995138804278,1.001649085925804,0.990798233006069,0.9899601147895511,1.0016477674276354,0.9906137743550276,0.9890156301639699,1.0011578274080557,0.9926703070636433,0.9905083982283028,1.0022166280844667,0.9926237512170063,0.990812810897815,1.0024647045051387,0.9906127910219839,0.988804814143302,1.0010502603738156,0.9906119804617957,0.9886319171311406,1.000994546448457,0.9904895143413306,0.9877286231642216,1.0008572317719884,0.9904812770516864,0.9879615098580213,1.0007169239754627,0.9904744895364672,0.98752390436515,1.0008401822759707,0.989904505750791,0.9909783718127895,0.9992526892382538,0.9896146822176676,0.9908914009606378,0.9990585424932097,0.9899102685380511,0.9909784229088672,0.9989221119649947,0.9902393082032344,0.9910651365664602,0.9996584249250512,0.9902278755116026,0.9913515601116879,0.9996435249558435,0.9887701121353221,0.9909658983563616,0.9987068779947964,0.988728273643183,0.9909659183157921,0.9987405195677949,0.9887577456753927,0.9913329207484061,0.9984939970926047,0.9881981586881253,0.9905102033998539,0.997691798383782,0.9881308795804415,0.990510293062704,0.997682694123611,0.9882133493664269,0.9905102233501056,0.9974777311549257,0.989713885296717,0.9901127004052122,1.0016322449827637,0.9910374241351337,0.9903728050035863,1.0004697582187607,0.9888833716199102,0.9908162916460627,0.9987054227770102,0.9881398077650582,0.9906041151195665,0.9982478938463489,0.988312331417336,0.9905098622308933,0.9979781478153966,0.9908814540922117,0.9902284603807887,1.000312949841788,0.9910625286922998,0.9902754395811201,1.0004743076304163,0.9985531643942919,0.9956554251195068,1.0060147547144107,78.0
0.9999969691582798,0.9999965604428734,0.9999980954637557,0.9801197919464212,0.9773486003895205,0.9875069101673818,0.9946606029476815,0.9924538800298894,1.0033410832610834,0.9926779096612358,0.9911966506316426,1.0021524427871997,0.9925891150313491,0.9908155184047476,1.0022968907489167,0.991868166969903,0.9906867368350999,1.001979104736357,0.9912428403817191,0.990903893204629,1.0008423306724832,0.991041527776755,0.9905912105871638,1.0006089508623068,0.9903592141152473,0.9910289448994857,0.9999036761024546,0.9908950576311167,0.9899506130765737,1.0016297211442697,0.9907146572264066,0.9899593685409686,1.0016283766999963,0.9905305980653881,0.9890106237268512,1.001132818596724,0.9925850414619999,0.9905104258170578,1.0022048185465893,0.9925388277856799,0.9908155471415474,1.0024525195057084,0.9905295786951349,0.9887993138614035,1.0010245941807816,0.990528750446262,0.9886259390499532,1.000968376192357,0.9904054764179663,0.987715025391458,1.000822754199453,0.9903972214059678,0.9879472541411993,1.0006819336278916,0.9903903420367061,0.9875092894518029,1.0008045513485306,0.9898093111418174,0.9909837912852536,0.9992393748232035,0.9895181790195893,0.9908968331116513,0.9990451039112587,0.9898151048044137,0.9909838423816222,0.9989085180175521,0.9901454456376536,0.9910705433895209,0.9996454139490045,0.9901340759560305,0.9913576469965093,0.9996315952356186,0.9886685766160096,0.9909713498215253,0.9986936520177668,0.9886257327649024,0.990971369781071,0.9987277240777093,0.9886561381637037,0.9913378885564603,0.9984791178094423,0.9880985635851569,0.9905159146341126,0.9976763937822026,0.9880315452367214,0.9905160042975145,0.9976672973510159,0.9881138012256091,0.990515934584487,0.9974619599053596,0.9896313415641836,0.9901126771166264,1.0016128354595415,0.9909480030871396,0.9903774804832463,1.0004575200295875,0.988784480029532,0.9908219400720465,0.9986917511694633,0.9880399253878631,0.9906100532325375,0.9982334138716253,0.9882125328975359,0.9905155734630526,0.9979632114091566,0.9907927000032903,0.9902337647960734,1.0003013628012343,0.9909727751358732,0.9902796115042146,1.0004620885711752,0.9984818832251567,0.995660348663055,1.006013401149498,79.0
0.9999969645533897,0.9999965583350757,0.9999980948656959,0.9800896709566115,0.9773347234812292,0.9875032187833894,0.9946244311526273,0.9924381890418615,1.0033347122196474,0.9926388522428277,0.9911784447292501,1.0021443552375766,0.9925481923624533,0.9907948826874701,1.002285448950453,0.9918303989115692,0.9906684036848844,1.0019715047651516,0.9911996642547432,0.9908842908430633,1.0008349900131628,0.9909992412589064,0.9905719539529667,1.0006022250896813,0.9903101263182277,0.9910074580251615,0.9998952400199825,0.9908595912791786,0.9899320977172652,1.0016234546569613,0.990679295201824,0.9899409184558442,1.0016221313301434,0.9904981577717991,0.988991459885953,1.0011285736999807,0.9925440535648444,0.9904878461761707,1.0021918394476772,0.9924968346483347,0.9907949114236686,1.002440218578433,0.9904970719114605,0.9887793923779261,1.0010192217754605,0.9904962111493593,0.9886052588284056,1.0009621203855064,0.9903746306240554,0.9876976705710053,1.000824962304063,0.9903663460537732,0.9879291575877417,1.0006833285244818,0.9903597088895676,0.9874922881767767,1.0008077299544706,0.9897551780508707,0.9909602941135848,0.9992299534118818,0.9894608829946717,0.9908719539546988,0.9990349750773193,0.9897611092493062,0.9909603452087438,0.9988989333666757,0.9900944309126148,0.9910484282410152,0.9996368240147697,0.9900831264881389,0.9913362381138588,0.9996241037109665,0.988600857903396,0.9909436171261644,0.9986809982885749,0.9885562402627248,0.9909436370851511,0.9987148613988738,0.9885883416220619,0.9913095281939426,0.9984646168419706,0.9880305901032801,0.9904848496427904,0.9976625172840979,0.9879640120780301,0.9904849393033837,0.9976535161848112,0.9880451408177232,0.9904848695925391,0.9974472621570133,0.9895965610739513,0.9900944677173169,1.0016065858123657,0.9909063805561367,0.9903585355605721,1.0004515825625133,0.9887214053358914,0.9907944628930779,0.99868039377438,0.9879732538892159,0.9905796834279348,0.9982209989796454,0.9881450332995415,0.9904845084824181,0.9979500873488011,0.99075194265016,0.9902156431638444,1.0002962708108354,0.9909311292221527,0.9902606139151848,1.0004561531151115,0.9984511767695947,0.9956462052891984,1.006009631994992,80.0
0.9999969656949754,0.9999965521837226,0.9999980946989537,0.9800975244390773,0.9772942389837681,0.9875018500805669,0.9946321673380757,0.9923916933431102,1.0033352497933214,0.9926445468111026,0.9911299582445072,1.0021429662394927,0.9925537641041172,0.990745107823672,1.0022835636179908,0.9918371351553569,0.9906188957076522,1.0019698307096203,0.991200845442416,0.9908358244470012,1.0008333833611065,0.9910022023843246,0.9905254293060747,1.0006010699117334,0.9903046191191894,0.9909561153708706,0.9998917220956606,0.9908667325242669,0.9898811143014872,1.001621270536162,0.9906864038192705,0.9898897429030105,1.001619884641363,0.9905059963096577,0.9889392142947745,1.0011260213324689,0.9925495389972541,0.9904370406852324,1.0021897804679902,0.992502397315392,0.9907451365584286,1.0024381659798445,0.9905048646661448,0.9887265596849772,1.0010158760728531,0.9905039814500103,0.9885518512530284,1.0009581642740881,0.9903816712858955,0.9876449099695688,1.0008238170374093,0.990373391065538,0.9878763576896994,1.0006822500689412,0.9903666447930458,0.9874394668116996,1.0008067578711426,0.9897453540178157,0.9909061693644,0.999225568313972,0.9894487163182084,0.9908160059508552,0.9990301850365484,0.9897507902416337,0.9909062204567683,0.9988940128347256,0.9900872719191814,0.9909961267772927,0.9996331170730398,0.9900760078731965,0.9912844787764143,0.999621101999863,0.9885820313505089,0.9908842191947353,0.9986750837011038,0.9885364796184319,0.9908842391525231,0.9987091866934789,0.9885694131862174,0.9912490642533384,0.9984561865704571,0.9880080239960009,0.990421196082482,0.9976542287651827,0.9879414439504791,0.9904212857373049,0.9976451105190852,0.988022018782676,0.9904212160309455,0.9974382802748839,0.989603405548228,0.9900423176970995,1.0016043780089385,0.990910510921586,0.9903133756424852,1.0004511162204395,0.9887050493538188,0.9907354987084708,0.9986748791757007,0.9879528880572889,0.9905174433247892,0.9982143081810235,0.9881232200791609,0.9904208549440651,0.9979426435790504,0.9907569065406955,0.9901712768833468,1.0002966293468716,0.990935953908914,0.9902164530621975,1.0004556485933258,0.998459174807695,0.995604939922029,1.0060082452810764,81.0
0.9999969597036795,0.9999965459113191,0.9999980962453933,0.9800594284065816,0.9772531093154326,0.9875125896935124,0.9945815979786802,0.9923431842126892,1.0033429665112206,0.9925924067842864,0.9910785458936721,1.0021477831881207,0.9925001146312398,0.9906920210537818,1.00228640541815,0.9917863683085827,0.9905644044324396,1.0019742345913185,0.9911446736285452,0.9907860909305372,1.0008380032095234,0.9909469107680574,0.9904766829952483,1.0006063845283506,0.990243632201237,0.9909066525625878,0.9998939928567978,0.9908152270446614,0.9898221742046522,1.0016241586145171,0.9906344296046882,0.9898299250503443,1.0016227058353848,0.990455199786105,0.9888782850872722,1.0011269107908625,0.9924957671073192,0.9903826143994638,1.0021919529314867,0.9924479338222373,0.9906920497869992,1.0024403250276774,0.990453990931217,0.988664797066308,1.0010154837634933,0.9904530700031353,0.9884892461682139,1.0009567618743604,0.9903301507250918,0.9875823047318135,1.0008241247465774,0.9903218718117681,0.9878137854570598,1.0006825831511712,0.9903150295925951,0.9873766378331409,1.0008069859481692,0.9896816563432047,0.9908569252940244,0.999227039442876,0.9893835286154075,0.9907668904277367,0.9990314255972396,0.9896868503919597,0.9908569763838585,0.9988951187982736,0.9900252370688395,0.990946754194421,0.9996350181970189,0.9900139469875694,0.9912351360193461,0.999622701221889,0.9885104115217279,0.9908349096330133,0.9986760371194069,0.9884636307555442,0.9908349295898111,0.9987101101732484,0.9884978001633157,0.9912007370303342,0.9984575045611108,0.9879374933955715,0.9903699048495684,0.9976533000210083,0.987870618019446,0.9903699944997629,0.9976439324230869,0.9879517024757598,0.9903699247970023,0.9974371850077981,0.9895481427807785,0.9899769466018496,1.0016074184269708,0.9908561590219048,0.9902653152633856,1.0004573863251567,0.9886366227417297,0.9906857901640349,0.9986757645316658,0.9878829032973148,0.9904667790187194,0.9982143902769883,0.9880528230817007,0.9903695637287635,0.9979422402061149,0.9907037363236479,0.9901243573776222,1.0003040415789985,0.990881785825609,0.9901686845675028,1.0004619072006586,0.9984203204677978,0.9955630107855311,1.0060191759008608,82.0
0.9999969536761946,0.9999965423327263,0.9999980961440395,0.9800209129222549,0.9772298607219669,0.987512608650066,0.994531218532643,0.9923143185748332,1.0033372121732635,0.9925414982713715,0.9910487596507236,1.0021400757532792,0.9924491877350816,0.9906604502552468,1.0022769535277092,0.9917373825997474,0.9905350745685917,1.0019669222719196,0.9910902288306046,0.990755485807617,1.0008298174330013,0.9908931988657985,0.990447185080717,1.0005980276494932,0.9901845084687874,0.9908731384302312,0.9998844898650345,0.9907675420089538,0.9897935040550109,1.0016170320814315,0.9905870115216238,0.9898015236543791,1.0016156089292338,0.9904082396020439,0.9888490599327878,1.0011199954623433,0.9924448450763917,0.9903496158965737,1.0021812841383204,0.9923969921308717,0.9906604789875487,1.0024307394576173,0.9904069903573193,0.9886350705648717,1.0010078663140163,0.9904060496445884,0.988459026487118,1.0009486004890369,0.9902831115174204,0.987553865270024,1.0008198741335952,0.9902747840053066,0.9877846710562814,1.000677111286542,0.99026798775643,0.987348407726337,1.0008032758540766,0.989620326646488,0.9908206542549199,0.9992173358404405,0.9893206278840534,0.9907288321613936,0.9990215059785164,0.9896259196444901,0.990820705342878,0.9988854955161843,0.9899652700544592,0.9909122703859616,0.9996255374750637,0.9899540039584902,0.9912010941890117,0.9996137055850034,0.9884438273725229,0.9907943132480738,0.9986657730101764,0.9883966068665726,0.9907943332040486,0.998700289428923,0.988431110028011,0.9911590786596686,0.9984446662495637,0.9878689138788485,0.9903273986219963,0.9976409132163279,0.9878023488948241,0.9903274882683246,0.9976315983785238,0.9878826119287338,0.9903274185685688,0.9974241731006938,0.9895023509057435,0.9899500538369922,1.0016002705112979,0.9908031034701745,0.9902366359042355,1.000449363898564,0.9885712255222724,0.9906456259148387,0.9986653946031008,0.9878151023784134,0.990424371469383,0.9982031915219474,0.9879846178467186,0.9903270575159024,0.9979304501954921,0.9906510178407869,0.990095995714698,1.0002963616035856,0.9908289856531056,0.9901404333508251,1.0004538678953672,0.9983810417476053,0.9955393033030165,1.0060191746101432,83.0
0.9999969588303049,0.9999965436802183,0.999998091534497,0.9800542829757584,0.9772389904706303,0.9874818387233455,0.9945727734097375,0.9923232337107448,1.0033045244226197,0.9925796232884029,0.9910578464100304,1.0021028773635487,0.9924861551031944,0.9906687714414295,1.0022391923909006,0.9917760316279332,0.9905441804746531,1.0019279520801265,0.9911243821558711,0.9907649890562094,1.0007903121603459,0.9909275241818979,0.9904574039126256,1.0005581250377857,0.9902147272833176,0.990881069581013,0.9998419496558661,0.9908072863467513,0.989802635008353,1.0015759371428663,0.9906270839081899,0.9898109355726371,1.0015744248730067,0.990448182807882,0.9888564807605581,1.001076245086133,0.9924816758987699,0.9903573247093354,1.0021437540765559,0.9924333671978651,0.9906688001739764,1.0023924675802474,0.9904468863308028,0.9886419604471668,1.0009633157701627,0.9904459225202844,0.9884653798107612,1.0009034215264978,0.9903225094018786,0.9875588479918097,1.0007732725282903,0.9903141261874547,0.9877890817837491,1.000629149212598,0.9903073233034008,0.9873531626957643,1.000756517347713,0.9896472949444881,0.9908274516746709,0.9991730816159777,0.9893454794231611,0.9907350197859763,0.9989764581938504,0.9896531496428402,0.9908275027629715,0.9988412657415877,0.989994222058477,0.9909196775877328,0.9995820985466941,0.9899828744325104,0.9912080731512202,0.9995691000792593,0.9884634202642872,0.9908008213661402,0.9986188034710951,0.9884154245634795,0.9908008413222424,0.9986534864919904,0.9884506152184105,0.9911649087472247,0.9983956119762635,0.9878855223345586,0.9903352537602756,0.9975905805270894,0.9878189738609994,0.9903353434073063,0.9975811975068845,0.9878980971985996,0.9903352737070044,0.9973728333884762,0.9895440916066313,0.9899610132133283,1.0015590282466345,0.9908379072448306,0.9902474149670928,1.0004097295424863,0.9885928699708834,0.9906524100458556,0.9986188403441967,0.987834341867473,0.9904319171030431,0.9981549283062513,0.9880026065583273,0.9903349126515092,0.997881142662454,0.9906860614205804,0.9901069758057683,1.0002569737420435,0.9908639871625697,0.9901515736562336,1.0004142194885013,0.998415065001705,0.9955486015593753,1.0059878206243424,84.0
0.9999969554568909,0.9999965430271076,0.9999980917187622,0.9800329909281391,0.9772349764996571,0.9874836534332975,0.9945436854301597,0.9923163616186924,1.0033017643741524,0.9925489331521378,0.9910517356074665,1.0020983125627339,0.9924558882259378,0.9906607952681058,1.0022330465385234,0.9917458241600571,0.9905389466025466,1.00192345446109,0.9910907622074259,0.9907596327487974,1.0007852067367613,0.990892873675943,0.9904518004217601,1.000552526691902,0.9901795038328236,0.9908762236455727,0.999835569403776,0.9907776865445013,0.989798668271174,1.0015717305166436,0.9905977509129572,0.9898071796985399,1.0015701847185448,0.9904182234284262,0.9888531353590726,1.0010727495629719,0.9924513284226224,0.9903478561369111,1.0021361942379499,0.9924034146848333,0.9906608240004187,1.0023864338361357,0.9904169028095874,0.9886383379606007,1.0009594072202235,0.990415927195022,0.9884614804796984,1.0008991892950079,0.9902923952269758,0.98755813632823,1.0007733419532465,0.9902839827819433,0.9877884998239089,1.0006286040595354,0.9902771935565612,0.9873527743682708,1.0007571486534044,0.9896118953206843,0.9908229491171353,0.9991663769328609,0.9893098905092418,0.9907306904006662,0.9989695982681293,0.9896179220425355,0.990823000205197,0.9988345488243541,0.989958928298626,0.9909150018325497,0.9995755809407378,0.9899475681762655,0.9912035832519714,0.9995625215502668,0.9884272944822654,0.9907977073212914,0.9986123699130407,0.9883791855267865,0.9907977272773281,0.9986476014926008,0.9884144218766769,0.9911613248413618,0.9983875935769432,0.9878502974986125,0.990334690975397,0.9975818259273718,0.9877836931356178,0.9903347806223711,0.9975723520746996,0.9878628878897756,0.9903347109221136,0.9973638514800882,0.9895171815439268,0.9899598017461568,1.0015546976477365,0.9908034834264047,0.9902417035358774,1.0004045817880927,0.9885570665941437,0.9906494873384039,0.9986116251563603,0.9877989443766317,0.9904306460552512,0.9981469864721153,0.9879674873749175,0.9903343498668444,0.9978727715822832,0.9906520946009191,0.9901016962932238,1.0002522723913734,0.9908294737368708,0.9901458052738116,1.000409073392555,0.9983933471653454,0.9955444992262017,1.0059896522371639,85.0
0.9999969618848723,0.9999965472587835,0.9999980909458721,0.9800744521312829,0.9772627676231945,0.9874780531035421,0.9945960338111192,0.992348723481892,1.0032994558738262,0.9926055163561365,0.9910863227748204,1.0020966741776787,0.9925130810348266,0.9906946824857705,1.0022312613887352,0.9918061173620758,0.9905737857421086,1.001923494147814,0.9911461399300262,0.9907973867882487,1.0007834699036817,0.9909471687155563,0.9904897415313979,1.0005497165041686,0.9902357384960655,0.990916286107952,0.9998338316847176,0.9908413721379331,0.9898338713233332,1.0015734597337864,0.9906615311715244,0.9898424016946253,1.001571964949468,0.9904865656473715,0.9888887497842567,1.0010768186578667,0.9925085449748979,0.9903811833892388,1.002134090685818,0.9924609553962584,0.9906947112190652,1.0023847995811408,0.9904852231759467,0.9886737248602766,1.0009631146869655,0.990484236884452,0.9884966329578473,1.0009026101384686,0.9903621123368719,0.9875954362936128,1.0007801114889459,0.9903536426853237,0.9878256550253358,1.0006340679110572,0.9903470990218711,0.9873903172113779,1.000764476636684,0.9896698982103228,0.9908648078048136,0.999165123697711,0.9893684659172309,0.9907735757573044,0.9989684000703474,0.9896768167983897,0.9908648588950304,0.9988338223028,0.9900158430692556,0.9909558338141379,0.999574065083021,0.9900044834142657,0.991244798715755,0.9995611789627342,0.9884854507379809,0.9908424202852572,0.9986117742864835,0.9884369954226669,0.9908424402421941,0.998647359113475,0.9884725358970197,0.9912059263121414,0.9983860411225065,0.987908001662895,0.9903812938756233,0.9975786970407623,0.9878413991436991,0.9903813835268183,0.9975691794772485,0.9879201588019659,0.9903813138232797,0.9973602484727576,0.9895816643572097,0.9899951233966116,1.0015564762266413,0.9908580171262859,0.9902798561005292,1.000401913749523,0.9886161409280295,0.9906942458607266,0.9986105007730146,0.9878579415550962,0.9904775216302076,0.9981448821322384,0.9880257528894989,0.9903809527510112,0.9978701639945929,0.9907066856137949,0.9901398787915991,1.0002496760581516,0.9908844192940214,0.9901846124812498,1.0004063801103866,0.9984356235096316,0.9955728285365373,1.0059839578676681,86.0
0.9999969614806489,0.999996546763336,0.999998089882181,0.9800730126786134,0.977260215025012,0.9874716338075606,0.99458852357162,0.9923411634762233,1.0032867579306595,0.9925975782235313,0.9910772395099937,1.002078613117307,0.992504343054312,0.9906837587759607,1.002210709865188,0.991799866073738,0.9905638072745349,1.0019018498949543,0.9911359668753305,0.9907864744222276,1.0007667703769352,0.9909359602514984,0.9904782522066286,1.0005327371570418,0.9902235033103665,0.9909037832444852,0.9998174911424644,0.9908368371262478,0.989822591863925,1.0015464490606742,0.9906573479609467,0.9898314250391725,1.0015448600650856,0.9904830376994647,0.9888735503612689,1.001042171500536,0.9924997167101054,0.9903687871901224,1.0021119657231505,0.9924518051435606,0.9906837875089418,1.0023639340947856,0.9904816492521,0.9886581123739102,1.0009277348279755,0.9904806405791458,0.9884805832892435,1.0008666396552255,0.9903575631024563,0.9875709085392114,1.000730740531368,0.9903489993407254,0.9878004814078406,1.0005824678209885,0.9903424314372009,0.9873646739226477,1.0007135375179286,0.9896555131295348,0.990850686940764,0.9991488231829504,0.9893523747030002,0.9907583670048775,0.9989519235336721,0.9896630916149137,0.9908507380302535,0.9988179164595681,0.9900027816398861,0.990942800821535,0.9995577847315634,0.9899914238607254,0.9912322151142083,0.9995451177739402,0.9884644610649901,0.9908283180610967,0.99859470799827,0.988414976455553,0.9908283380177498,0.9986301761476781,0.9884515612229697,0.991192676065252,0.998369496873022,0.9878866098472098,0.9903672850844438,0.9975593636993008,0.987820250265214,0.9903673747343723,0.9975499302198034,0.9878978112915161,0.9903673050318182,0.9973401235729876,0.9895796670240259,0.9899863627545908,1.0015292907647415,0.9908469171849682,0.990268030237943,1.000385369245808,0.9885978216612493,0.9906797975063647,0.9985935275564138,0.9878384787880765,0.9904637145322509,0.9981268313110834,0.9880052883865014,0.9903669439646505,0.9978514788186208,0.9906960255405598,0.9901284664103089,1.0002335614912325,0.9908726932178176,0.9901719269941988,1.0003898682768515,0.9984341358020312,0.9955702043298563,1.0059773938434735,87.0
